0,0,09:41:42,1 P 3
0,5,09:41:47,3 P 1
0,10,09:41:52,3 P 1
0,76,09:42:58,3 P 4
0,341,09:47:23,3 J 4
0,774,09:54:36,2 P 1
0,776,09:54:38,2 P 1
0,842,09:55:44,3 P 4
0,845,09:55:47,3 P 4
0,1053,09:59:15,3 P 4
0,1086,09:59:48,3 P 1
0,1158,10:01:00,3 P 2
0,1547,10:07:29,3 P 1
0,1805,10:11:47,3 P 1
0,1811,10:11:53,3 P 1
0,1871,10:12:53,2 P 1
0,1919,10:13:41,2 P 1
0,2008,10:15:10,3 P 2
0,2036,10:15:38,3 P 4
0,2561,10:24:23,3 P 4
0,2892,10:29:54,3 P 1
0,3145,10:34:07,3 P 1
0,3287,10:36:29,2 P 1
0,3290,10:36:32,2 P 1
0,3291,10:36:33,3 P 1
0,3460,10:39:22,1 P 4
0,3763,10:44:25,3 P 4
0,3831,10:45:33,3 P 2
0,3981,10:48:03,3 P 4
0,4087,10:49:49,3 P 1
0,4431,10:55:33,3 P 1
0,4557,10:57:39,3 P 1
0,4559,10:57:41,3 P 1
0,4866,11:02:48,4 P 2
0,5218,11:08:40,3 P 4
0,5284,11:09:46,3 P 4
0,5563,11:14:25,1 P 4
0,5582,11:14:44,1 P 4
0,5583,11:14:45,4 P 1
0,5586,11:14:48,4 P 1
0,5733,11:17:15,3 P 1
0,5736,11:17:18,3 P 1
0,5767,11:17:49,3 P 1
0,5941,11:20:43,3 P 1
0,5975,11:21:17,3 P 1
0,6019,11:22:01,2 P 1
0,6059,11:22:41,2 P 1
0,6093,11:23:15,4 P 2
0,6102,11:23:24,3 P 4
0,6128,11:23:50,3 P 4
0,6168,11:24:30,2 P 1
0,6389,11:28:11,3 P 4
0,6391,11:28:13,3 P 4
0,6466,11:29:28,3 P 2
0,6478,11:29:40,4 P 2
0,6517,11:30:19,4 P 2
0,7396,11:44:58,2 P 1
0,7591,11:48:13,4 P 2
0,7895,11:53:17,4 P 1
0,8256,11:59:18,3 P 4
0,8258,11:59:20,3 P 4
0,8340,12:00:42,3 P 4
0,8510,12:03:32,3 P 4
0,9227,12:15:29,3 P 2
0,9513,12:20:15,3 P 2
0,9529,12:20:31,3 P 4
0,9703,12:23:25,3 P 4
0,9706,12:23:28,3 P 4
0,9851,12:25:53,3 P 2
0,9853,12:25:55,3 P 2
0,9854,12:25:56,3 P 2
0,9856,12:25:58,3 P 2
0,9937,12:27:19,4 P 1
0,10047,12:29:09,3 P 2
0,10049,12:29:11,3 P 2
0,10050,12:29:12,3 P 2
0,10186,12:31:28,4 P 1
0,10192,12:31:34,4 P 1
0,10210,12:31:52,4 P 1
0,10235,12:32:17,4 P 1
0,10253,12:32:35,3 P 1
0,10466,12:36:08,3 P 4
0,10688,12:39:50,4 P 2
0,10721,12:40:23,3 P 1
0,10730,12:40:32,3 P 1
0,10860,12:42:42,3 P 1
0,11411,12:51:53,3 P 1
0,11414,12:51:56,3 P 1
0,11416,12:51:58,3 P 1
0,12010,13:01:52,4 P 1
0,12379,13:08:01,3 P 4
0,12453,13:09:15,3 P 4
0,12719,13:13:41,3 P 4
0,12721,13:13:43,3 P 4
0,12939,13:17:21,4 P 2
0,13214,13:21:56,4 P 1
0,13216,13:21:58,4 P 1
0,13506,13:26:48,4 P 2
0,13508,13:26:50,4 P 2
0,14487,13:43:09,4 P 2
0,15514,14:00:16,3 P 4
0,15516,14:00:18,3 P 4
0,15541,14:00:43,4 P 1
0,15565,14:01:07,3 P 4
0,15840,14:05:42,4 P 1
0,15852,14:05:54,4 P 1
0,15969,14:07:51,3 P 4
0,16303,14:13:25,1 P 2
0,18225,14:45:27,3 P 4
0,18227,14:45:29,3 P 4
0,18676,14:52:58,3 P 2
0,19461,15:06:03,3 P 1
0,19464,15:06:06,3 P 1
0,19511,15:06:53,3 P 1
0,19530,15:07:12,3 P 4
0,19829,15:12:11,4 P 1
0,20148,15:17:30,3 P 4
0,20277,15:19:39,4 P 1
0,20757,15:27:39,3 P 4
0,21082,15:33:04,4 P 1
0,21141,15:34:03,4 P 1
0,21353,15:37:35,4 P 1
0,21421,15:38:43,4 P 1
